platform,source_url,komentar
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Kota Metro adalah kota di Provinsi Lampung, Indonesia. Kota ini berjarak sekitar 52 km dari ibu kota provinsi, yaitu Kota Bandar Lampung,[5] serta merupakan kota terbesar kedua di Provinsi Lampung. Kota Metro masuk dalam daftar 10 kota di Indonesia dengan biaya hidup terendah ke-9 di Indonesia serta urutan kedua di Pulau Sumatra berdasarkan Survei BPS tahun 2017."
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Kota Metro juga ditetapkan sebagai Pusat Kegiatan Wilayah (PKW) karena memiliki potensi dan kondisi yang besar, serta didukung oleh sarana dan prasarana yang memadai. Kota Metro juga diharapkan dapat mengurangi beban Kota Bandar Lampung sebagai ibu kota Provinsi Lampung.[6] Nantinya Kota Metro menjadi bagian dari target cetak biru Kementerian Pekerjaan Umum Dan Perumahan Rakyat Republik Indonesia dalam kawasan strategis pengembangan kota metropolitan Bandar Lampung Raya.[7][8]"
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Sejarah kelahiran Kota Metro bermula dengan dibangunnya kolonisasi dan dibentuk sebuah induk desa baru yang diberi nama Trimurjo. Sebelum tahun 1936, Trimurjo adalah bagian dari Onder Distrik Gunungsugih [9] yang merupakan bagian dari wilayah Marga Nuban. Kawasan ini adalah daerah yang terisolasi tanpa banyak pengaruh dari penduduk lokal Lampung.[10] Namun, pada awal tahun 1936 Pemerintah kolonial Belanda mengirimkan migran orang-orang Jawa (kolonis) ke wilayah ini untuk mengurangi kepadatan penduduk di Pulau Jawa dan mengurangi kegiatan para aktivis kemerdekaan.[11] Kelompok pertama tiba pada tanggal 4 April 1936.[12]"
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Pada tanggal 9 Juni 1937, nama daerah itu diganti dari Trimurjo ke Metro [13] dan pada tahun yang sama berdiri sebagai pusat pemerintahan Onder Distrik (setingkat kecamatan) dengan Raden Mas Sudarto sebagai asisten kepala distrik (asisten demang) pertama. Onder Distrik dikepalai oleh seorang Asisten Demang, sedangkan Distrik dikepalai oleh seorang Demang. Sedangkan atasan daripada Distrik adalah Onder Afdeling yang dikepalai oleh seorang Controleur berkebangsaan Belanda."
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Tugas dari Asisten Demang mengoordinasi Marga yang dikepalai oleh Pesirah dan di dalam pelaksanaan tugasnya dibantu oleh seorang Pembarap (Wakil Pesirah), seorang Juru Tulis dan seorang Pesuruh (Opas). Pesirah selain berkedudukan sebagai Kepala Marga juga sebagai Ketua Dewan Marga. Pesirah dipilih oleh Penyimbang-penyimbang Kampung dalam Marganya masing-masing. Kediaman asisten wedana Metro pada masa Hindia Belanda Marga terdiri dari beberapa Kampung yaitu dikepalai oleh Kepala Kampung dan dibantu oleh beberapa Kepala Suku. Kepala Suku diangkat dari tiap-tiap Suku di kampung itu. Kepala Kampung dipilih oleh Penyimbang-penyimbang dalam kampung. Pada waktu itu Kepala Kampung harus seorang Penyimbang Kampung, jikalau bukan Penyimbang Kampung tidak bisa diangkat dan Kepala Kampung adalah anggota Dewan Marga."
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Selama periode yang sama, pemerintah kolonial Belanda membangun lebih banyak jalan, juga klinik, kantor polisi, dan kantor administrasi.[14] Pada tahun 1941 dibangun sebuah masjid, kantor pos, pasar yang besar, dan penginapan, serta pemasangan listrik dan saluran telepon.[15] Pengembangan berikutnya adalah dibangunnya irigasi untuk memastikan tanaman yang sehat."
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Belanda memperkerjakan Ir. Swam untuk merancang sistem irigasi. Desainnya dikenal dengan nama tanggul (bahasa Prancis ""leeve"", sekarang bentukan ini dikenal dengan ""ledeng"") selebar 30 meter dan sedalam 10 meter saluran irigasi dari Sungai Sekampung ke Metro. Buruh disediakan oleh pendatang, yang diwajibkan dan bekerja dalam shift. Konstruksi dimulai pada tahun 1937 dan selesai pada tahun 1941.[16]"
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Metropolis-Metro dipilih dan ditetapkan sejak tahun 1935 telah direncanakan dengan matang oleh kolonial belanda sebagai Megaproyek Kolonisasi Sukadana. Pada tahun 1935, ditetapkanlah nama Metropolis-Metro dan menjadi ibukota dari Kolonisasi Sukadana.[17]"
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Versi pertama nama ""Metro"" yaitu berasal dari nama resminya yaitu ""Metropolis"" yang ditetapkan sebagai pusat ibukota Kolonisasi Sukadana. Dalam penggunaannya, nama Metropolis disingkat menjadi Metro. Nama Metropolis-Metro diberikan langsung oleh Hendrik Roelof Rookmaaker yang mulai bertugas sebagai penjabat gubernur wedana pada 22 Juni 1933. Nama tersebut dipilih karena proyeksinya pada masa depan, kota terencana ini akan menjadi kota besar seperti halnya Metropolis (metropolitan).[18] Versi kedua atau yang populer yaitu nama Metro berasal dari kata “Meterm” atau ""Metreum"" dalam Bahasa Belanda yang artinya ""titik tengah"" atau “titik pusat wilayah"". Pendapat ini muncul dikarenakan letak geografis Metro yang berada di tengah antara desa kolonis pertama yaitu Rancangpurwo dan desa induk Trimurjo.[13][19][20] Versi ketiga nama Metro berasal dari kata ""Mitro"" (Bahasa Jawa) yang berarti artinya teman, mitra, kumpulan. Hal tersebut dilatarbelakangi dari kolonisasi yang datang dari berbagai daerah di luar wilayah Sumatra yang masuk ke daerah Lampung.[13] Pada zaman kemerdekaan nama Kota Metro tetap Metro. Dengan berlakunya Pasal 2 Peraturan Peralihan Undang-undang Dasar 1945 maka Metro Termasuk dalam bagian Kabupaten Lampung Tengah yang dikepalai oleh seorang Bupati pada tahun 1945, yang pada waktu itu Bupati yang pertama menjabat adalah Burhanuddin (1945-1948)"
Media Sosial,https://id.wikipedia.org/wiki/Kota_Metro,"Setelah invasi Jepang di Indonesia pada tahun 1942, semua personil Belanda dievakuasi atau ditangkap.[21] Program (trans)migrasi dilanjutkan di bawah nama Kakari Imin,[22] dan 70 (trans)migran asal Jawa digunakan sebagai kerja paksa dalam pembangunan landas pacu di Natar (kelak menjadi Bandar Udara Internasional Radin Inten II) dan Astra Ksetra (kelak menjadi Pangkalan TNI Angkatan Udara Pangeran Mohammad Bunyamin), serta berbagai bunker dan aset strategis lainnya; mereka yang menolak akan ditembak.[21]
Warga lainnya kurang gizi, dengan hasil panen mereka yang diambil oleh pasukan pendudukan Jepang. Penyakit menyebar secara merajalela ke seluruh warga, yang dibawa oleh kutu. Kematian umum terjadi, sedangkan para perempuan termasuk istri-istri para pekerja paksa, diambil sebagai wanita penghibur.[22]
Pada zaman Jepang, Residente Lampoengsche Districten diubah namanya oleh Jepang menjadi Lampung Syu. Lampung Syu dibagi dalam 3 (tiga) Ken, yaitu:"
